E,eV	dN/dE,part/eV
9455	11,6
9460	12
9465	12,6
9470	14,6
9475	12,801
9480	13
9485	14,2
9490	14,801
9495	17,4
9500	13,801
9505	13,6
9510	16
9515	12,801
9520	15,801
9525	17,801
9530	14,2
9535	16
9540	14,801
9545	15,2
9550	17,2
9555	17,2
9560	17
9565	20
9570	17,2
9575	16,2
9580	12,801
9585	16,801
9590	18,801
9595	18
9600	18,2
9605	18,4
9610	18
9615	19,801
9620	19,801
9625	23,601
9630	18
9635	19,2
9640	20
9645	19
9650	20,601
9655	20,4
9660	19,4
9665	18,801
9670	22
9675	17,4
9680	22,2
9685	18,4
9690	20,601
9695	22,801
9700	23,4
9705	23
9710	23
9715	21,2
9720	21,4
9725	21,601
9730	25,2
9735	24,2
9740	19,601
9745	22,4
9750	20,4
9755	21,601
9760	24
9765	21
9770	19
9775	19,2
9780	19,601
9785	23,601
9790	23,2
9795	25,2
9800	24,2
9805	20,2
9810	21,4
9815	19,601
9820	20,2
9825	23,801
9830	20,601
9835	24,801
9840	19,2
9845	22,801
9850	24,801
9855	25
9860	22
9865	23,801
9870	18,2
9875	20,601
9880	22,801
9885	22,801
9890	20,601
9895	21,601
9900	17,801
9905	25,801
9910	20,2
9915	20,2
9920	20,2
9925	18
9930	19,601
9935	22,4
9940	19,2
9945	21,801
9950	21,4
9955	19,2
9960	20
9965	18,2
9970	19,801
9975	16,601
9980	17,601
9985	15
9990	17,4
9995	19,801
10000	16,601
10005	19
10010	17
10015	22,4
10020	16,2
10025	20
10030	18,801
10035	18,601
10040	19,2
10045	17
10050	17,2
10055	18,4
10060	18,601
10065	15,6
10070	18
10075	19,4
10080	17,2
10085	19
10090	14,6
10095	17,2
10100	14,401
10105	20
10110	18,2
10115	19,601
10120	19,801
10125	17,801
10130	17,601
10135	16,4
10140	14,801
10145	17,2
10150	16,2
10155	16,801
10160	14,6
10165	16,4
10170	15,6
10175	18
10180	15,401
10185	17
10190	16,4
10195	19,801
10200	17,4
10205	14,401
10210	16,801
10215	18
10220	12,401
10225	14
10230	17
10235	14,801
10240	12,6
10245	13,801
10250	12
10255	18
10260	12,401
10265	13,2
10270	15,6
10275	11,401
10280	17,4
10285	14
10290	15
10295	13,801
10300	12,6
10305	14,801
10310	15,2
10315	17,801
10320	16,4
10325	13,401
10330	14
10335	13,2
10340	14,6
10345	16,4
10350	13,6
10355	14
10360	12,6
10365	14
10370	14,401
10375	14,2
10380	16,4
10385	14,401
10390	15,401
10395	12,401
10400	12,401
10405	12
10410	12,2
10415	13,6
10420	12,6
10425	12,801
10430	12,401
10435	12,6
10440	14,2
10445	12
10450	12,2
10455	13,401
10460	15
10465	12,6
10470	15,401
10475	11
10480	14,401
10485	17,2
10490	15,6
10495	12,401
10500	15,2
10505	12,801
10510	13,401
10515	15,2
10520	12,6
10525	12,801
10530	15
10535	12,401
10540	14,6
10545	15
10550	14,2
10555	14,6
10560	15,401
10565	16,4
10570	19,601
10575	16,2
10580	15,401
10585	16,2
10590	14,401
10595	14,6
10600	18,4
10605	15
10610	16
10615	14,801
10620	16,4
10625	16,801
10630	14,401
10635	15,801
10640	16,801
10645	14,801
10650	15,6
10655	10,6
10660	10,6
10665	10,2
10670	7,8
10675	7,401
10680	9,801
10685	8,6
10690	5,8
10695	5,8
10700	2,601
10705	2,8
10710	1,4
10715	4
10720	1,801
10725	1,801
10730	2,201
10735	2
10740	2,201
10745	0,401
10750	1
10755	0,6
10760	0,201
10765	0,801
10770	1
10775	0,201
10780	0,401
10785	0,201
10790	0,401
10795	0,401
10800	0,6
10805	0,6
10810	0,6
10815	0
10820	0,401
10825	0,401
10830	1
10835	0,6
10840	0,401
10845	0,401
10850	0
10855	0,201
10860	0,201
10865	0,201
10870	0,201
10875	0,201
10880	0,201
10885	0
10890	0
10895	0
10900	0
10905	0
10910	0
10915	0
10920	0
10925	0
10930	0
10935	0
10940	0
10945	0
10950	0
10955	0
10960	0
10965	0
10970	0
10975	0
10980	0
10985	0
10990	0
10995	0
11000	0
